"s4252","TV Show","In Family We Trust",,"Songsit Roongnophakunsri, Saksit Tangtong, Kathaleeya McIntosh, Sopitnapa Choompanee, Apasiri Nitibhon, Phollawat Manuprasert, Nappon Gomarachun, Patravadi Mejudhon, Kejmanee Wattanasin, Supoj Chancharoen, Pimmara Charoenpakdee, Thanapob Leeratanakajorn, Kritsanapoom Pibulsonggram, Teeradon Supapunpinyo, Kongyingyong Chonlathorn, Lapat Ngamchaweng, Sivakorn Adulsuttikul, Paris Intarakomalyasut, Jackrin Kungwankiatichai, Vachirawich Aranthanawong, Sawanya Paisarnpayak, Kanyawee Songmuang, Pitisak Yaowananon, Chavalit Chittanant, Thaneth Warakulnukroh","Thailand","December 29, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","When the head of the lucrative family business passes away, his will leaves the clan at extreme odds."
"s4253","Movie","A Twelve Year Night","Álvaro Brechner","Antonio de la Torre, Chino Darín, Alfonso Tort, Soledad Villamil, César Troncoso, Silvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren","Uruguay, Argentina, Spain","December 28, 2018",2018,"TV-MA","122 min","Dramas, International Movies","Future Uruguayan president José Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture."
"s4254","Movie","Black Mirror: Bandersnatch",,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry","United States","December 28, 2018",2018,"TV-MA","312 min","Dramas, International Movies, Sci-Fi & Fantasy","In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings."
"s4255","TV Show","Hashoter Hatov",,"Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin","Israel","December 28, 2018",2015,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Comedies","An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers."
"s4256","Movie","Life Ki Toh Lag Gayi","Rakesh Mehta","Kay Kay Menon, Ranvir Shorey, Manu Rishi Chadha, Pradhuman Singh, Neha Bhasin, Jackie Shroff, Asrani, Neeraj Vora, Sharat Saxena, Tom Alter","India","December 28, 2018",2012,"TV-MA","109 min","Action & Adventure, Comedies, Dramas","A vengeful son, a cop on a mission, a wannabe actress and a jilted lover find their lives intermingling in unexpected ways over 24 hours in Mumbai."
"s4257","TV Show","Murder Mountain",,,"United States","December 28, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries","In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again."
"s4258","TV Show","Selection Day",,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi","India","December 28, 2018",2018,"TV-14","1 Season","International TV Shows, TV Dramas, Teen TV Shows","Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities."
"s4259","Movie","The Birth Reborn 3","Eduardo Chauvet",,,"December 28, 2018",2018,"TV-14","73 min","Documentaries, International Movies","This intimate look at a São Paulo birth center features interviews with mothers, activists, doctors and midwives. Third in a series of films."
"s4260","Movie","When Angels Sleep","Gonzalo Bendala","Julián Villagrán, Marian Álvarez, Ester Expósito, Sira Alonso de Alarcón, Asia Ortega, Daniel Jumillas, Christian Mulas","Spain","December 28, 2018",2018,"TV-MA","96 min","Dramas, International Movies, Thrillers","After a businessman falls asleep at the wheel and hits a woman with his car, his interactions with her scared friend unleash a string of dark events."
"s4261","TV Show","Stand Up and Away! with Brian Regan",,"Brian Regan","United States","December 24, 2018",2018,"TV-PG","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","Brian Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series."
"s4262","TV Show","Way Back into Love",,"June Tsai, Ray Chang, Lung Shao-hua, Yi-Wen Yen, Ching-kuan Wang, Mai Sato","Taiwan","December 24, 2018",2011,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","After years in the U.S., a Taiwanese immigrant returns to her hometown with a young daughter in tow to assist her father with his bed-and-breakfast."
"s4263","TV Show","Watership Down","Noam Murro","James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins","United Kingdom, Ireland, United States","December 23, 2018",2018,"TV-PG","1 Season","British TV Shows, International TV Shows, TV Action & Adventure","A warren of rabbits battles many threats on their daring journey to find a new home in this adaptation of the classic novel by Richard Adams."
"s4264","TV Show","Demon's Path",,"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok, Sham Ka Ki, Elanne Kong, Kate Yeung, Ong Yi-hing, Sunny Lau",,"December 22, 2018",2018,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death."
"s4265","TV Show","People Just Do Nothing",,"Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis","United Kingdom","December 22, 2018",2018,"TV-MA","5 Seasons","British TV Shows, TV Comedies","Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion."
"s4266","TV Show","Single Ladies Senior",,"Summer Meng, Christina Mok, Alina Cheng, Bonnie Wang",,"December 22, 2018",2018,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Four best friends and spirited career women navigate the treacherous world of romance – even as it stands in the way of work and friendship."
"s4267","TV Show","7 Days Out",,,"United States","December 21, 2018",2018,"TV-PG","1 Season","Docuseries","Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food."
"s4268","Movie","Bad Seeds","Kheiron","Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouff Wague, Mahia Zrouki, Joseph Jovanovic","France, Belgium","December 21, 2018",2018,"TV-MA","105 min","Comedies, Dramas, International Movies","Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students."
"s4269","Movie","Bird Box","Susanne Bier","Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, BD Wong, Jacki Weaver, Rosa Salazar, Danielle Macdonald, Lil Rel Howery, Tom Hollander","United States","December 21, 2018",2018,"R","124 min","Dramas, Sci-Fi & Fantasy, Thrillers","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
"s4270","TV Show","Jojo's World",,"Tia Lee, In Deok Hwang, Yen-j, Jason Hsu, Andy Wu, Sharon Hsu","Taiwan","December 21, 2018",2017,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Diagnosed with a condition that could make her infertile, a career woman must choose one of four bachelors to make a baby with before time runs out."
"s4271","TV Show","LAST HOPE",,"Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano","Japan","December 21, 2018",2018,"TV-14","2 Seasons","Anime Series, International TV Shows","After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created."
"s4272","TV Show","Lion Pride",,"Yen Tsao, Amanda Chou, Kevin Liu, Peace Yang, Kenny Wen, Tzu-chiang Chao, Vince Kao, Lin Ching-Tai, Lin He Xuan, Michael Yang","Taiwan","December 21, 2018",2017,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","After crossing paths at a crime scene, a renowned math teacher and an antiques appraiser embark on an unexpected journey of love and self-discovery."
"s4273","TV Show","Love @ Seventeen",,"Lego Lee, Nikki Hsin-Ying Hsieh, Edison Wang, Amanda Chou","Taiwan","December 21, 2018",2016,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Radically changed by a misunderstanding 13 years ago, a biotech expert runs into an old flame and suffers an illness that takes her back to the past."
"s4274","TV Show","Perfume",,"Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski, Ken Duken, Trystan Pütter, Christian Friedel, Juergen Maurer, Marc Hosemann, Susanne Wuest","Germany","December 21, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her."
"s4275","TV Show","Sirius the Jaeger",,"Yuto Uemura, Takahiro Sakurai, Kenyu Horiuchi, Nanako Mori, Yusuke Kobayashi, Shunsuke Takeuchi, Junji Majima, Rie Takahashi, Hinata Tadokoro, Kenjiro Tsuda, Takehito Koyasu, Sayaka Ohara, Nobuo Tobita","Japan","December 21, 2018",2018,"TV-MA","1 Season","Anime Series, International TV Shows, TV Thrillers","In imperial Tokyo, a group calling themselves ""Jaegers"" secretly hunt the vampires seeking the Ark of Sirius. Among them is young werewolf, Yuliy."
"s4276","Movie","Struggle: The Life and Lost Art of Szukalski","Irek Dobrowolski",,"Poland, United States","December 21, 2018",2018,"TV-MA","105 min","Documentaries","Artists in LA discover the work of forgotten Polish sculptor Stanislav Szukalski, a mad genius whose true story unfolds chapter by astounding chapter."
"s4277","TV Show","Wolf",,"Ahu Türkpençe, Serkan Çayoglu, Murat Arkin, Emir Benderlioglu, Firat Dogruloglu, Ahmet Pinar, Mesut Akusta","Turkey","December 21, 2018",2018,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home."
"s4278","Movie","23:59","Gilbert Chan","Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim","Singapore","December 20, 2018",2011,"R","78 min","Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
"s4279","Movie","Aggretsuko: We Wish You a Metal Christmas","Rarecho","Kaolip, Shingo Kato, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Yuki Takahashi, Rarecho","Japan","December 20, 2018",2018,"TV-PG","22 min","Movies","While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control."
"s4280","TV Show","Fate/stay night: Unlimited Blade Works",,"Noriaki Sugiyama, Kana Ueda, Ayako Kawasumi, Junichi Suwabe, Noriko Shitaya, Mai Kadowaki, Masaki Terasoma, Nobutoshi Canna, Atsuko Tanaka, Shinichiro Miki, Yuu Asakawa, Miki Ito, Hiroshi Kamiya, Jouji Nakata, Tomokazu Seki","Japan","December 20, 2018",2015,"TV-14","2 Seasons","Anime Series, International TV Shows","High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail."
"s4281","Movie","Imperfect","Steve Cheng","Edwin Goh, Ian Fang Weijie, Phua Yida, Kimberly Chia","Singapore","December 20, 2018",2012,"TV-MA","95 min","Action & Adventure, International Movies","After a brawl lands him in a Boys’ Home, a teen seems to be on a promising path until loyalty to his gangster buddy leads to even bigger trouble."
"s4282","Movie","Lang Tong","Sam Loh","William Lawandi, Angeline Yap, Vivienne Tseng, Esther Goh, Alan Tan","Singapore","December 20, 2018",2015,"TV-MA","82 min","International Movies, Thrillers","After seducing a philandering con man, a rebellious young woman enlists his help in carrying out a heinous crime against her sister."
"s4283","Movie","Miss J Contemplates Her Choice","Jason Lai","Kit Chan, Xiang Yun, Bobby Tonelli, Shane Pow, Seraph Sun, Marcus Chiau, Sierra Bustos, Amy Cheng, Lin Yu Hui, Youyi","Singapore","December 20, 2018",2014,"TV-MA","89 min","Dramas, International Movies, Thrillers","The life of a radio talk-show host is turned upside down after a murderous caller dials into her program and asks her to choose his next victim."
"s4284","Movie","Ascharyachakit!","Samit Kakkad","Priyanka Bose, Vaibhav Raj Gupta, Santosh Juvekar, Anangsha Biswas, Ankit Raaj, Kashmira Irani, Kailash Waghmare, Vipin Sharma","India","December 19, 2018",2018,"TV-MA","90 min","Dramas, Independent Movies, International Movies","Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
"s4285","TV Show","Ellen DeGeneres: Relatable","Joel Gallen, Tig Notaro","Ellen DeGeneres","United States","December 18, 2018",2018,"TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt – and hilarious – lessons she's learned along the way."
"s4286","Movie","Lilli","Prasobh Vijayan","Samyuktha Menon, Aaryan Menon, Dhanesh Anand, Kannan Nayar, Sajin Cherukayil, Kevin Jose, Athulya","India","December 17, 2018",2018,"TV-MA","85 min","Dramas, Independent Movies, International Movies","A woman who's about to give birth finds her maternal instincts kicking in when she's abducted, imprisoned and brutalized by a vicious gang."
"s4287","Movie","Prince of Peoria: A Christmas Moose Miracle","Jon Rosenbaum","Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams","United States","December 17, 2018",2018,"TV-G","29 min","Children & Family Movies, Comedies","Teddy's never missed the Festival of Lights, but the bowling alley’s been snowed in! Not to worry – Emil insists the Christmas moose will save the day."
"s4288","Movie","Andhadhun","Sriram Raghavan","Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan, Manav Vij, Zakir Hussain, Ashwini Kalsekar, Chhaya Kadam, Pawan Singh, Kabir Sajid","India","December 16, 2018",2018,"TV-14","137 min","Comedies, Dramas, International Movies","A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star."
"s4289","TV Show","Ashes of Love",,"Yang Zi, Deng Lun, Luo Yunxi","China","December 16, 2018",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Hidden away by her mother, the Floral Goddess, the naïve Jinmi is drawn to Xufeng, the Heavenly Emperor's son. Yet forces conspire against them."
"s4290","Movie","Dragons: Dawn of the Dragon Racers","Elaine Bogan, John Sanford","Jay Baruchel, America Ferrera, Zack Pearlman, Christopher Mintz-Plasse, T.J. Miller, Andree Vermeulen","United States","December 16, 2018",2014,"TV-PG","27 min","Children & Family Movies, Comedies","The ""How to Train Your Dragon"" adventure continues when a hunt for lost sheep turns into a fierce, fun-filled competition."
"s4291","TV Show","DreamWorks Holiday Classics",,"Ben Stiller, David Schwimmer, Chris Rock, Jada Pinkett Smith, Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Eddie Murphy, Mike Myers, Antonio Banderas, Cameron Diaz","United States","December 16, 2018",2011,"TV-PG","1 Season","Kids' TV, TV Comedies","Join your DreamWorks friends for these four holiday specials, featuring Shrek and Donkey, Hiccup and Toothless, and the wacky animals from Madagascar."
"s4292","Movie","Kill the Messenger","Michael Cuesta","Jeremy Renner, Rosemarie DeWitt, Ray Liotta, Tim Blake Nelson, Oliver Platt, Barry Pepper, Michael Sheen, Paz Vega, Michael Kenneth Williams, Mary Elizabeth Winstead, Andy Garcia, Robert Patrick","United States","December 16, 2018",2014,"R","112 min","Dramas, Thrillers","In the 1980s, a crusading journalist uncovers secret CIA funding for Nicaraguan rebels, but the powers that be silence his investigation."
"s4293","Movie","Maps to the Stars","David Cronenberg","Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack, Olivia Williams, Sarah Gadon, Evan Bird, Niamh Wilson, Dawn Greenhalgh","Canada, Germany, France, United States","December 16, 2018",2014,"R","112 min","Comedies, Dramas","A showbiz family revolving around its teen celebrity son desperately tries to hang on to fame and success in this savage satire of Hollywood."
"s4294","Movie","Springsteen on Broadway","Thom Zimny","Bruce Springsteen","United States","December 16, 2018",2018,"TV-MA","153 min","Music & Musicals","Bruce Springsteen shares personal stories from his life and acoustic versions of some of his best-known songs in an intimate one-man show."
"s4295","Movie","The Theory of Everything","James Marsh","Emily Watson, Charlie Cox, Felicity Jones, Maxine Peake, Harry Lloyd, Eddie Redmayne, David Thewlis, Simon McBurney","United Kingdom, Japan","December 16, 2018",2014,"PG-13","123 min","Dramas, Romantic Movies","As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane."
"s4296","Movie","F.R.E.D.I.","Sean Olson","Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos, Reid Miller, Tyler Christopher, Casimere Jollette, Christina Cox, Texas Battle, Harvey Guillen","United States","December 15, 2018",2018,"TV-PG","90 min","Children & Family Movies, Sci-Fi & Fantasy","Venturing into the woods, high schooler James discovers an intelligent robot that he must save from the hands of a businessman with an evil scheme."
"s4297","TV Show","Flowers",,"Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter","United Kingdom","December 15, 2018",2018,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together."
"s4298","Movie","Kita Kita","Sigrid Andrea Bernardo","Alessandra de Rossi, Empoy Marquez","Philippines","December 15, 2018",2017,"TV-14","84 min","Comedies, Dramas, International Movies","When a tour guide in Japan goes blind after seeing her fiancé’s infidelity, she befriends a fellow Filipino keen to coax her out of the darkness."
"s4299","Movie","Once in a Lifetime Sessions with George Ezra",,,"United States","December 15, 2018",2018,"TV-MA","78 min","Documentaries, Music & Musicals","English singer-songwriter George Ezra performs his standout songs and speaks about his transformation from aspiring bassist to pop star."
"s4300","Movie","Once in a Lifetime Sessions with Kasabian","Matt Askem","Sergio Pizzorno, Tom Meighan, Chris Edwards, Ian Mattthews, Lauren Laverne","United States","December 15, 2018",2018,"TV-MA","79 min","Documentaries, Music & Musicals","Between shots of live performances, Tom Meighan and Sergio Pizzorno of the English rock band talk about the 20-plus years of making music together."
"s4301","Movie","Once in a Lifetime Sessions with OneRepublic",,,"United States","December 15, 2018",2018,"TV-PG","73 min","Documentaries, Music & Musicals","Exclusive interviews, live performances and studio recording sessions offer an intimate look at how OneRepublic became the successful band it is today."
"s4302","Movie","Once in a Lifetime Sessions with Snow Patrol","Matt Askem","Gary Lightbody, Nathan Connolly, Jonny Quinn, Paul Wilson, Johnny McDaid, Edith Bowman","United States","December 15, 2018",2018,"TV-MA","83 min","Documentaries, Music & Musicals","In addition to concert scenes and studio recording sessions, this documentary presents exclusive interviews of the five men from the Irish rock band."
"s4303","Movie","Sad Hill Unearthed","Guillermo de Oliveira",,"Spain","December 15, 2018",2017,"TV-14","83 min","Documentaries, International Movies","An eclectic group of fans of 1966's ""The Good, the Bad and the Ugly"" attempt to restore the cemetery set in Spain where the movie's climax was filmed."
"s4304","Movie","Vanjagar Ulagam","Manoj Beedha","Guru Somasundaram, Cibi Bhuvana Chandran, Vishagan Vanangamudi, Anisha Ambrose, Chandini Tamilarasan, Azhagamperumal, John Vijay, Vasu Vikram, Hareesh Peradi, Jayaprakash Radhakrishnan","India","December 15, 2018",2018,"TV-MA","145 min","Dramas, International Movies, Thrillers","Shyam wakes to discover he's suspected in a murder that one journalist believes may have ties to a mysterious gangster."
"s4305","TV Show","Hymn of Death",,"Lee Jong-suk, Shin Hye-sun, Kim Myeong-su, Park Seon-im, Kim Won-hae, Hwang Yeong-hee, Lee Ji-hoon, Go Bo-gyeol, Shin Jae-ha","South Korea","December 14, 2018",2018,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","During the Japanese colonial period, married playwright Kim U-jin falls in love with soprano Yun Sim-deok, one of Korea’s notable New Women."
"s4306","TV Show","Inside the Real Narcos",,"Jason Fox",,"December 14, 2018",2018,"TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries","Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous traffickers and cartel members."
"s4307","Movie","ROMA","Alfonso Cuarón","Yalitza Aparicio, Marina de Tavira","Mexico, United States","December 14, 2018",2018,"R","135 min","Dramas, Independent Movies, International Movies","Director Alfonso Cuarón delivers a vivid, emotional portrait of domestic life and social hierarchy set against Mexico's political turmoil of the 1970s."
"s4308","TV Show","The Fix",,"Jimmy Carr, D.L. Hughley, Katherine Ryan","United States","December 14, 2018",2018,"TV-MA","1 Season","TV Comedies","Comedians Jimmy Carr, D.L. Hughley and Katherine Ryan tackle the world's woes with help from a rotating crew of funny guests and an actual expert."
"s4309","TV Show","The Innocent Man",,"John Grisham","United States","December 14, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries","This documentary adaptation of John Grisham's only nonfiction book raises troubling questions about two murder cases in Ada, Oklahoma, in the 1980s."
"s4310","TV Show","Tidelands",,"Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden","Australia","December 14, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens."
"s4311","TV Show","Travelers",,"Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore","Canada, United States","December 14, 2018",2018,"TV-MA","3 Seasons","Crime TV Shows, International TV Shows, TV Dramas","A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future."
